// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
hd_7924_c;HD 7924;15,299;;16,82;5075;14.05.2015;HD 7924 c;;;2015;http://exoplanet.eu/catalog/hd_7924_c/;HD 7924;HIP 6379
hd_7924_d;HD 7924;24,451;;16,82;5075;14.05.2015;HD 7924 d;;;2015;http://exoplanet.eu/catalog/hd_7924_d/;HD 7924;HIP 6379
hd_79498_b;HD 79498;1966,1;;48,64;;14.05.2014;HD 79498 b;;;2011;http://exoplanet.eu/catalog/hd_79498_b/;HD 79498;HIP 45406
hd_80606_b;HD 80606;111,4357;;29,04;5645;14.05.2014;HD 80606 b;1252,2;10,98;2001;http://exoplanet.eu/catalog/hd_80606_b/;HD 80606;HIP 45982
hd_81040_b;HD 81040;1001,7;;32,56;5700;16.04.2015;HD 81040 b;;;2005;http://exoplanet.eu/catalog/hd_81040_b/;HD 81040;HIP 46076
hd_81688_b;HD 81688;184,02;;88,26;4753;14.05.2014;HD 81688 b;;;2007;http://exoplanet.eu/catalog/hd_81688_b/;HD 81688;HIP 46471
hd_82886_b;HD 82886;705;;112,23;5112;14.05.2014;HD 82886 b;;;2011;http://exoplanet.eu/catalog/hd_82886_b/;HD 82886;HIP 47087
hd_82943_b;HD 82943;441,47;;27,46;6016;14.05.2014;HD 82943 b;534,25;;2003;http://exoplanet.eu/catalog/hd_82943_b/;HD 82943;HIP 47007
hd_82943_c;HD 82943;220,078;;27,46;6016;14.05.2014;HD 82943 c;622,603;;2003;http://exoplanet.eu/catalog/hd_82943_c/;HD 82943;HIP 47007
hd_83443_b;HD 83443;2,985698;;43,53;5454;14.05.2014;HD 83443 b;;;2002;http://exoplanet.eu/catalog/hd_83443_b/;HD 83443;HIP 47202
hd_8535_b;HD 8535;1313;;52,5;6136;16.04.2015;HD 8535 b;;;2010;http://exoplanet.eu/catalog/hd_8535_b/;HD 8535;HIP 6511
hd_85390_b;HD 85390;788;;33,96;5186;14.05.2014;HD 85390 b;;;2009;http://exoplanet.eu/catalog/hd_85390_b/;HD 85390;HIP 48235
hd_85512_b;HD 85512;58,43;;11,15;4715;16.04.2015;HD 85512 b;;;2011;http://exoplanet.eu/catalog/hd_85512_b/;HD 85512;HIP 48331
hd_8574_b;HD 8574;227;;44,2;6050;14.05.2014;HD 8574 b;;;2002;http://exoplanet.eu/catalog/hd_8574_b/;HD 8574;HIP 6643
hd_86081_b;HD 86081;2,1375;;91,16;;16.04.2015;HD 86081 b;;;2006;http://exoplanet.eu/catalog/hd_86081_b/;HD 86081;HIP 48711
hd_86226_b;HD 86226;1695;;42,48;5903;14.05.2014;HD 86226 b;;;2009;http://exoplanet.eu/catalog/hd_86226_b/;HD 86226;HIP 48739
hd_86264_b;HD 86264;1475;;72,57;;24.04.2015;HD 86264 b;;;2009;http://exoplanet.eu/catalog/hd_86264_b/;HD 86264;HIP 48780
hd_8673_b;HD 8673;1634;;38,26;;14.05.2014;HD 8673 b;;;2009;http://exoplanet.eu/catalog/hd_8673_b/;HD 8673;HIP 6702
hd_86950_b;HD 86950;1270;;169;4805;01.12.2016;HD 86950 b;;;2016;http://exoplanet.eu/catalog/hd_86950/;HD 86950;HIP 49129
hd_87646_b;HD 87646;13,481;;73,58;5770;18.08.2016;HD 87646 b;;;2016;http://exoplanet.eu/catalog/hd_87646a_b/;HD 87646;HIP 49522 A
hd_87883_b;HD 87883;2754;;18,06;;24.04.2015;HD 87883 b;;;2009;http://exoplanet.eu/catalog/hd_87883_b/;HD 87883;HIP 49699
hd_88133_b;HD 88133;3,4148674;;74,46;5438;13.10.2016;HD 88133 b;324,1866;;2004;http://exoplanet.eu/catalog/hd_88133_b/;HD 88133;HIP 49813
hd_89307_b;HD 89307;2157;;30,88;;24.04.2015;HD 89307 b;;;2009;http://exoplanet.eu/catalog/hd_89307_b/;HD 89307;HIP 50473
hd_89744_b;HD 89744;256,78;;39;6291;14.05.2014;HD 89744 b;;;1999;http://exoplanet.eu/catalog/hd_89744_b/;HD 89744;HIP 50786
hd_90156_b;HD 90156;49,77;;22,09;5599;14.05.2014;HD 90156 b;;;2009;http://exoplanet.eu/catalog/hd_90156_b/;HD 90156;HIP 50921
hd_9174_b;HD 9174;1179;;78,93;5577;10.11.2016;HD 9174 b;;;2016;http://exoplanet.eu/catalog/hd_9174_b/;HD 9174;HIP 6993
hd_92788_b;HD 92788;325;;32,32;5821;24.04.2015;HD 92788 b;;;2000;http://exoplanet.eu/catalog/hd_92788_b/;HD 92788;HIP 52409
hd_93083_b;HD 93083;143,58;;28,9;4995;14.05.2014;HD 93083 b;;;2005;http://exoplanet.eu/catalog/hd_93083_b/;HD 93083;HIP 52521
hd_9446_b;HD 9446;30,052;;52,85;5793;10.03.2016;HD 9446 b;;;2009;http://exoplanet.eu/catalog/hd_9446_b/;HD 9446;HIP 7245
hd_9446_c;HD 9446;192,9;;52,85;5793;10.03.2016;HD 9446 c;;;2009;http://exoplanet.eu/catalog/hd_9446_c/;HD 9446;HIP 7245
hd_95086_b;HD 95086;;;91,57;;14.05.2014;HD 95086 b;1589;;2013;http://exoplanet.eu/catalog/hd_95086_b/;HD 95086;HIP 53524
hd_95089_b;HD 95089;507;;149,03;5002;14.05.2014;HD 95089 b;;;2009;http://exoplanet.eu/catalog/hd_95089_b/;HD 95089;HIP 53666
hd_95127_b;HD 95127;482;;332;4218;05.02.2015;HD 95127 b;;;2015;http://exoplanet.eu/catalog/hd_95127/;HD 95127;HIP 53733
hd_95872_b;HD 95872;4375;;7,56;5312;17.12.2015;HD 95872 b;;;2015;http://exoplanet.eu/catalog/hd_95872_b/;HD 95872;
hd_96063_b;HD 96063;361,1;;132,8;5148;14.05.2014;HD 96063 b;;;2011;http://exoplanet.eu/catalog/hd_96063_b/;HD 96063;HIP 54158
hd_96127_b;HD 96127;647,3;;221,24;4152;14.05.2015;HD 96127 b;;;2011;http://exoplanet.eu/catalog/hd_96127_b/;HD 96127;HIP 54232
hd_96167_b;HD 96167;498,9;;84,03;5770;14.05.2015;HD 96167 b;;;2009;http://exoplanet.eu/catalog/hd_96167_b/;HD 96167;HIP 54195
hd_97658_b;HD 97658;9,4909;3,35;21,3;5119;27.10.2016;HD 97658 b;7,86;2,341;2010;http://exoplanet.eu/catalog/hd_97658_b/;HD 97658;HIP 54906
hd_98219_b;HD 98219;436,9;;150,38;4992;14.05.2014;HD 98219 b;;;2011;http://exoplanet.eu/catalog/hd_98219_b/;HD 98219;HIP 55174
hd_98649_b;HD 98649;4951;;42,77;5759;14.05.2014;HD 98649 b;;;2012;http://exoplanet.eu/catalog/hd_98649_b/;HD 98649;HIP 55409
hd_99109_b;HD 99109;439,3;;60,46;5272;23.07.2014;HD 99109 b;;;2005;http://exoplanet.eu/catalog/hd_99109_b/;HD 99109;HIP 55664
hd_99492_b;HD 99492;17,054;;55,7;4929;10.03.2016;HD 99492 b;;;2004;http://exoplanet.eu/catalog/hd_99492_b/;HD 99492;HIP 55848
hd_99706_b;HD 99706;868;;130,89;4932;14.05.2014;HD 99706 b;;;2011;http://exoplanet.eu/catalog/hd_99706_b/;HD 99706;HIP 55994
hip_105854_b;HIP 105854;184,2;;84,6;4780;11.06.2014;HIP 105854 b;;;2014;http://exoplanet.eu/catalog/hip_105854_b/;HD 203949;HIP 105854
hip_107773_b;HIP 107773;144,3;;;4945;04.06.2015;HIP 107773 b;;;2015;http://exoplanet.eu/catalog/hip_107773_b/;HD 207229;HIP 107773
hip_109384_b;HIP 109384;499,48;;56,2;5180;25.02.2016;HIP 109384 b;;;2016;http://exoplanet.eu/catalog/hip_109384_b/;;HIP 109384
hip_109600_b;HIP 109600;232,08;;58,6;5530;25.02.2016;HIP 109600 b;;;2016;http://exoplanet.eu/catalog/hip_109600_b/;;HIP 109600
hip_116454_b;HIP 116454;9,1205;4,17;55,2;5089;19.12.2014;HIP 116454 b;11,82;2,53;2014;http://exoplanet.eu/catalog/hip_116454_b/;;HIP 116454
hip_12961_b;HIP 12961;57,435;;23,8;;14.05.2015;HIP 12961 b;;;2010;http://exoplanet.eu/catalog/hip_12961_b/;;HIP 12961
hip_14810_b;HIP 14810;6,673855;;52,88;5485;14.05.2015;HIP 14810 b;;;2005;http://exoplanet.eu/catalog/hip_14810_b/;;HIP 14810
hip_14810_c;HIP 14810;147,73;;52,88;5485;14.05.2015;HIP 14810 c;;;2006;http://exoplanet.eu/catalog/hip_14810_c/;;HIP 14810
hip_14810_d;HIP 14810;952;;52,88;5485;14.05.2015;HIP 14810 d;;;2009;http://exoplanet.eu/catalog/hip_14810_d/;;HIP 14810
hip_41378_b;HIP 41378;15,5712;;116,14;6199;07.07.2016;HIP 41378 b;;2,9;2016;http://exoplanet.eu/catalog/hip_41378_b/;;HIP 41378
hip_41378_c;HIP 41378;31,6978;;116,14;6199;07.07.2016;HIP 41378 c;;2,56;2016;http://exoplanet.eu/catalog/hip_41378_c/;;HIP 41378
hip_41378_d;HIP 41378;156;;116,14;6199;07.07.2016;HIP 41378 d;;3,96;2016;http://exoplanet.eu/catalog/hip_41378_d/;;HIP 41378
hip_41378_e;HIP 41378;131;;116,14;6199;07.07.2016;HIP 41378 e;;5,51;2016;http://exoplanet.eu/catalog/hip_41378_e/;;HIP 41378
hip_41378_f;HIP 41378;324;;116,14;6199;07.07.2016;HIP 41378 f;;10,2;2016;http://exoplanet.eu/catalog/hip_41378_f/;;HIP 41378
hip_5158_b;HIP 5158;345,72;;44,8;4962;14.05.2014;HIP 5158 b;;;2009;http://exoplanet.eu/catalog/hip_5158_b/;;HIP 5158
hip_5158_c;HIP 5158;9017,76;;44,8;4962;10.09.2015;HIP 5158 c;;;2011;http://exoplanet.eu/catalog/hip_5158_c/;;HIP 5158
hip_57050_b;HIP 57050;41,397;;11,03;;14.05.2014;HIP 57050 b;;;2010;http://exoplanet.eu/catalog/hip_57050_b/;;HIP 57050
hip_57274_b;HIP 57274;8,1352;;25,87;;24.04.2015;HIP 57274 b;;;2011;http://exoplanet.eu/catalog/hip_57274_b/;;HIP 57274
hip_57274_c;HIP 57274;32,03;;25,87;;24.04.2015;HIP 57274 c;;;2011;http://exoplanet.eu/catalog/hip_57274_c/;;HIP 57274
hip_57274_d;HIP 57274;431,7;;25,87;;26.03.2015;HIP 57274 d;;;2011;http://exoplanet.eu/catalog/hip_57274_d/;;HIP 57274
hip_63242_b;HIP 63242;124,6;;149,25;4830;14.05.2014;HIP 63242 b;;;2013;http://exoplanet.eu/catalog/hip_63242_b/;HD 112410;HIP 63242
hip_65407_b;HIP 65407;28,125;;55,5;5460;25.02.2016;HIP 65407 b;;;2016;http://exoplanet.eu/catalog/hip_65407_b/;;HIP 65407
hip_65407_c;HIP 65407;67,3;;55,5;5460;25.02.2016;HIP 65407 c;;;2016;http://exoplanet.eu/catalog/hip_65407_c/;;HIP 65407
hip_65891_b;HIP 65891;1084,5;;;5000;04.06.2015;HIP 65891 b;;;2015;http://exoplanet.eu/catalog/hip_65891_b/;HD 117253;HIP 65891
hip_67851_b;HIP 67851;88,9;;;4890;04.06.2015;HIP 67851 b;;;2015;http://exoplanet.eu/catalog/hip_67851_b/;HD 121056;HIP 67851
hip_67851_c;HIP 67851;2131,8;;;4890;04.06.2015;HIP 67851 c;;;2015;http://exoplanet.eu/catalog/hip_67851_c/;HD 121056;HIP 67851
hip_70849_b;HIP 70849;17337,5;;23,98;;14.05.2014;HIP 70849 b;;;2009;http://exoplanet.eu/catalog/hip_70849_b/;;HIP 70849
hip_74890_b;HIP 74890;822,3;;91,49;4850;17.03.2016;HIP 74890 b;;;2016;http://exoplanet.eu/catalog/hip_74890_b/;HD 135760;HIP 74890
hip_75458_b;HIP 75458;511,098;;31,33;4530;23.07.2014;HIP 75458 b;;;2002;http://exoplanet.eu/catalog/hip_75458_b/;HD 137759;HIP 75458
hip_78530_b;HIP 78530;;;156,7;10500;01.04.2015;HIP 78530 b;7300;;2010;http://exoplanet.eu/catalog/hip_78530_b/;HD 143567;HIP 78530
hip_79431_b;HIP 79431;111,7;;14,9;;14.05.2014;HIP 79431 b;;;2009;http://exoplanet.eu/catalog/hip_79431_b/;;HIP 79431
hip_8541_b;HIP 8541;1560,2;;168,63;4670;17.03.2016;HIP 8541 b;;;2016;http://exoplanet.eu/catalog/hip_8541_b/;HD 11343;HIP 8541
hip_91258_b;HIP 91258;5,0505;;44,46;5519;14.05.2014;HIP 91258 b;;;2013;http://exoplanet.eu/catalog/hip_91258_b/;;HIP 91258
hip_97233_b;HIP 97233;1058,8;;106,5;5020;03.10.2014;HIP 97233 b;;;2014;http://exoplanet.eu/catalog/hip_97233_b/;HD 186641;HIP 97233
hn_peg_b;HN Peg;;;18,39;;14.05.2014;HN Peg b;6991,57;11,777;2006;http://exoplanet.eu/catalog/hn_peg_b/;HD 206860;HIP 107350
hr_2562_b;HR 2562;;;33,63;;08.09.2016;HR 2562 b;9534,9;12,442;2016;http://exoplanet.eu/catalog/hr_2562_b/;HD 50571;HIP 32775
hr_810_b;HR 810;312;;17,24;;30.04.2015;HR 810 b;;;1999;http://exoplanet.eu/catalog/hr_810_b/;HD 17051;HIP 12653
hr_8799_b;HR 8799;170000;;39,4;;14.05.2014;HR 8799 b;2000;13;2008;http://exoplanet.eu/catalog/hr_8799_b/;HD 218396;HIP 114189
hr_8799_c;HR 8799;69000;;39,4;;14.05.2014;HR 8799 c;3000;13;2008;http://exoplanet.eu/catalog/hr_8799_c/;HD 218396;HIP 114189
hr_8799_d;HR 8799;37000;;39,4;;14.05.2014;HR 8799 d;3000;13;2008;http://exoplanet.eu/catalog/hr_8799_d/;HD 218396;HIP 114189
hr_8799_e;HR 8799;18000;;39,4;;14.05.2014;HR 8799 e;;;2010;http://exoplanet.eu/catalog/hr_8799_e/;HD 218396;HIP 114189
k2_10_b;K2-10;19,3044;2,6;271;5620;11.02.2016;K2-10 b;27;3,84;2015;http://exoplanet.eu/catalog/k2-10_b/;;
k2_105_b;K2-105;8,266902;;233;5434;12.01.2017;K2-105 b;30;3,59;2017;http://exoplanet.eu/catalog/k2-105_b/;;
k2_107_b;K2-107;3,31392;0,35;;6030;02.02.2017;K2-107 b;266,9772;16,141;2017;;;
k2_108_b;K2-108;4,73401;2,22;;5474;09.02.2017;K2-108 b;59,4;5,28;2017;http://exoplanet.eu/catalog/k2-108_b/;;
k2_11_b;K2-11;39,93767;;2019;5433;16.07.2015;K2-11 b;;7,55;2015;http://exoplanet.eu/catalog/k2-11_b/;;
k2_12_b;K2-12;8,28212;;294;5800;16.07.2015;K2-12 b;;2,33;2015;http://exoplanet.eu/catalog/k2-12_b/;;
k2_13_b;K2-13;39,91488;;290;5698;16.07.2015;K2-13 b;;1,89;2015;http://exoplanet.eu/catalog/k2-13_b/;;
k2_14_b;K2-14;8,36802;;219;3789;16.07.2015;K2-14 b;;4,81;2015;http://exoplanet.eu/catalog/k2-14_b/;;
k2_15_b;K2-15;11,8104;;437;5131;16.07.2015;K2-15 b;;2,48;2015;http://exoplanet.eu/catalog/k2-15_b/;;
k2_16_b;K2-16;7,6188;;324;4742;07.07.2016;K2-16 b;;2,02;2015;http://exoplanet.eu/catalog/k2-16_b/;;
k2_16_c;K2-16;19,07863;;324;4742;07.07.2016;K2-16 c;;2,54;2015;http://exoplanet.eu/catalog/k2-16_c/;;
k2_17_b;K2-17;17,96753;;134;4320;16.07.2015;K2-17 b;;2,23;2015;http://exoplanet.eu/catalog/k2-17_b/;;
k2_18_b;K2-18;32,94488;;34;3503;16.07.2015;K2-18 b;;2,24;2015;http://exoplanet.eu/catalog/k2-18_b/;;
k2_19_b;K2-19;7,9194;;291;5430;07.07.2016;K2-19 b;;7,74;2015;http://exoplanet.eu/catalog/k2-19_b/;;
k2_19_c;K2-19;11,90715;;291;5430;07.07.2016;K2-19 c;;4,86;2015;http://exoplanet.eu/catalog/k2-19_c/;;
k2_19_d;K2-19;2,50856;;291;5430;07.07.2016;K2-19 d;;1,14;2016;http://exoplanet.eu/catalog/k2-19_d/;;
k2_21_b;K2-21;9,32414;2,7;65;4043;18.09.2015;K2-21 b;;1,59;2015;http://exoplanet.eu/catalog/epic-206011691_b/;;
k2_21_c;K2-21;15,5012;5,4;65;4043;18.09.2015;K2-21 c;;1,92;2015;http://exoplanet.eu/catalog/epic-206011691_c/;;
k2_22_b;K2-22;0,381078;;225;3830;15.10.2015;K2-22 b;444,962;2,5;2015;;;
k2_24_b;K2-24;20,88508;;181;5743;07.07.2016;K2-24 b;;5,83;2016;http://exoplanet.eu/catalog/k2-24_b/;;
k2_24_c;K2-24;42,36342;;181;5743;07.07.2016;K2-24 c;;8,1;2016;http://exoplanet.eu/catalog/k2-24_c/;;
k2_25_b;K2-25;3,484552;;45,7;3180;05.01.2016;K2-25 b;;3,43;2015;;;
k2_26_b;K2-26;14,5665;;93;3785;21.01.2016;K2-26 b;;2,67;2016;http://exoplanet.eu/catalog/k2-26_b/;;
k2_27_b;K2-27;6,771315;1,87;;5248;09.02.2017;K2-27 b;30,9;4,48;2016;http://exoplanet.eu/catalog/k2-27_b/;;
k2_28_b;K2-28;2,260455;;53;3214;25.02.2016;K2-28 b;;2,32;2016;http://exoplanet.eu/catalog/k2-28_b/;;
k2_29_b;K2-29;3,2588321;0,53;185;5358;24.03.2016;K2-29 b;232,0159;13,339;2016;http://exoplanet.eu/catalog/epic_211089792_b/;;
k2_3_b;K2-3;10,05449;;42;3896;07.07.2016;K2-3 b;;2,18;2015;http://exoplanet.eu/catalog/k2-3__b/;;
k2_3_c;K2-3;24,64354;;42;3896;07.07.2016;K2-3 c;;1,85;2015;http://exoplanet.eu/catalog/k2-3__c/;;
k2_3_d;K2-3;44,55983;;42;3896;07.07.2016;K2-3 d;;1,51;2015;http://exoplanet.eu/catalog/k2-3__d/;;
k2_30_b;K2-30;4,098503;0,64;278;5425;14.04.2016;K2-30 b;184,02357;11,646;2016;http://exoplanet.eu/catalog/k2-30_b/;;
k2_31_b;K2-31;1,25785;;;5280;01.12.2016;K2-31 b;563,83042;11,882;2016;;;
k2_32_b;K2-32;8,99213;0,67;;5275;09.02.2017;K2-32 b;16,5;5,13;2016;;;
k2_32_c;K2-32;20,6602;2,7;;5275;09.02.2017;K2-32 c;12,1;3,01;2016;;;
k2_32_d;K2-32;31,7154;1,38;;5275;09.02.2017;K2-32 d;10,3;3,43;2016;;;
k2_33_b;K2-33;5,424865;;145;3540;23.06.2016;K2-33 b;1175,971;5,04;2016;http://exoplanet.eu/catalog/k2-33_b/;;
k2_34_b;K2-34;2,995607;0,94;377;6132;03.06.2016;K2-34 b;559,3808;15,132;2016;http://exoplanet.eu/catalog/k2-34_b/;;
k2_35_b;K2-35;2,39984;;;4680;07.07.2016;K2-35 b;;1,4;2016;;;
k2_35_c;K2-35;5,60912;;;4680;07.07.2016;K2-35 c;;2,09;2016;;;
k2_36_b;K2-36;1,42266;;;4924;07.07.2016;K2-36 b;;1,32;2016;;;
k2_36_c;K2-36;5,34059;;;4924;07.07.2016;K2-36 c;;2,8;2016;;;
k2_37_b;K2-37;4,44117;;;5413;07.07.2016;K2-37 b;;1,61;2016;;;
k2_37_c;K2-37;6,42904;;;5413;07.07.2016;K2-37 c;;2,75;2016;;;
k2_37_d;K2-37;14,09189;;;5413;07.07.2016;K2-37 d;;2,73;2016;;;
k2_38_b;K2-38;4,01593;17,5;;5757;07.07.2016;K2-38 b;12;1,55;2016;;;
k2_38_c;K2-38;10,56103;3,6;;5757;07.07.2016;K2-38 c;9,9;2,42;2016;;;
k2_39_b;K2-39;4,60497;1,17;298,18;4912;09.02.2017;K2-39 b;39,8;5,71;2016;http://exoplanet.eu/catalog/k2-39/;;
k2_4_b;K2-4;10,00329;;;4197;16.07.2015;K2-4 b;;2,37;2015;http://exoplanet.eu/catalog/k2-4_b/;;
k2_42_b;K2-42;6,68796;;;4613;18.07.2016;K2-42 b;;2,15;2016;;;
k2_43_b;K2-43;3,47114;;;3939;18.07.2016;K2-43 b;;4,13;2016;;;
k2_44_b;K2-44;5,65688;;;5912;18.07.2016;K2-44 b;;2,72;2016;;;
k2_45_b;K2-45;1,7292684;;;4103;18.07.2016;K2-45 b;;6,71;2016;;;
k2_46_b;K2-46;19,1541;;;6256;18.07.2016;K2-46 b;;2,05;2016;;;
k2_47_b;K2-47;31,6372;;;5054;18.07.2016;K2-47 b;;1,89;2016;;;
k2_48_b;K2-48;20,5065;;;4899;18.07.2016;K2-48 b;;2,24;2016;;;
k2_49_b;K2-49;2,77065;;;4175;18.07.2016;K2-49 b;;1,93;2016;;;
k2_5_b;K2-5;5,73594;;;3930;07.07.2016;K2-5 b;;1,91;2015;http://exoplanet.eu/catalog/k2-5_b/;;
k2_5_c;K2-5;10,93241;;;3930;07.07.2016;K2-5 c;;2,26;2015;http://exoplanet.eu/catalog/k2-5_c/;;
k2_50_b;K2-50;8,7529;;;4326;18.07.2016;K2-50 b;;1,59;2016;;;
k2_51_b;K2-51;13,0106;;;5452;18.07.2016;K2-51 b;;12,9;2016;;;
k2_52_b;K2-52;3,53482;;;6113;18.07.2016;K2-52 b;;11,1;2016;;;
k2_53_b;K2-53;12,2054;;;5269;18.07.2016;K2-53 b;;2,5;2016;;;
k2_54_b;K2-54;9,7843;;;3798;18.07.2016;K2-54 b;;1,15;2016;;;
k2_55_b;K2-55;2,849258;;;4456;18.07.2016;K2-55 b;;3,82;2016;;;
k2_57_b;K2-57;9,0063;;;4434;18.07.2016;K2-57 b;;2,1;2016;;;
k2_58_b;K2-58;7,05254;;;5413;18.07.2016;K2-58 b;;2,68;2016;;;
k2_58_c;K2-58;2,53726;;;5413;18.07.2016;K2-58 c;;1,62;2016;;;
k2_58_d;K2-58;22,8827;;;5413;18.07.2016;K2-58 d;;1,71;2016;;;
k2_59_b;K2-59;20,6921;;;5055;18.07.2016;K2-59 b;;2,41;2016;;;
k2_59_c;K2-59;11,2954;;;5055;18.07.2016;K2-59 c;;2,3;2016;;;
k2_6_b;K2-6;30,94191;;;5850;16.07.2015;K2-6 b;;2,5;2015;http://exoplanet.eu/catalog/k2-6_b/;;
k2_60_b;K2-60;3,00265;1,7;;5500;02.02.2017;K2-60 b;135,39558;7,656;2016;;;
k2_61_b;K2-61;2,57302;;;6293;18.07.2016;K2-61 b;;2,48;2016;;;
k2_62_b;K2-62;6,67202;;;4880;18.07.2016;K2-62 b;;2,14;2016;;;
k2_62_c;K2-62;16,1966;;;4880;18.07.2016;K2-62 c;;2,14;2016;;;
k2_63_b;K2-63;20,257;;;6771;18.07.2016;K2-63 b;;3,22;2016;;;
k2_64_b;K2-64;6,53044;;;5312;18.07.2016;K2-64 b;;2,07;2016;;;
k2_65_b;K2-65;12,6475;;78,06;5213;18.07.2016;K2-65 b;;1,58;2016;;;HIP 109656
k2_66_b;K2-66;5,06965;;;5958;18.07.2016;K2-66 b;;2,49;2016;;;
k2_67_b;K2-67;24,38724;;;5984;18.07.2016;K2-67 b;;17,4;2016;;;
k2_68_b;K2-68;8,05428;;;4746;18.07.2016;K2-68 b;;1,58;2016;;;
k2_69_b;K2-69;7,06599;;;4127;18.07.2016;K2-69 b;;2,32;2016;;;
k2_7_b;K2-7;28,67992;;;5772;16.07.2015;K2-7 b;;2,67;2015;http://exoplanet.eu/catalog/k2-7_b/;;
k2_70_b;K2-70;13,97896;;;5622;18.07.2016;K2-70 b;;2,89;2016;;;
k2_71_b;K2-71;6,98541;;;4006;18.07.2016;K2-71 b;;2,15;2016;;;
k2_72_b;K2-72;5,57739;;;3497;18.07.2016;K2-72 b;;0,75;2016;;;
k2_72_c;K2-72;15,1871;;;3497;18.07.2016;K2-72 c;;0,86;2016;;;
k2_72_d;K2-72;7,7599;;;3497;18.07.2016;K2-72 d;;0,73;2016;;;
k2_72_e;K2-72;24,1669;;;3497;18.07.2016;K2-72 e;;0,82;2016;;;
k2_73_b;K2-73;7,49543;;;5922;18.07.2016;K2-73 b;;2,45;2016;;;
k2_74_b;K2-74;19,5666;;;6060;18.07.2016;K2-74 b;;2,31;2016;;;
k2_75_b;K2-75;7,8142;;;5995;18.07.2016;K2-75 b;;2,67;2016;;;
k2_75_c;K2-75;18,311;;;5995;18.07.2016;K2-75 c;;2,77;2016;;;
k2_76_b;K2-76;23,9726;;;5806;18.07.2016;K2-76 b;;11,1;2016;;;
k2_77_b;K2-77;8,199796;;141;4970;29.09.2016;K2-77 b;603,877;2,3;2016;;;
k2_78_b;K2-78;2,29016;;;5729;18.07.2016;K2-78 b;;1,42;2016;;;
k2_79_b;K2-79;10,99573;;;5926;18.07.2016;K2-79 b;;3,69;2016;;;
k2_8_b;K2-8;10,35239;;;4870;07.07.2016;K2-8 b;;3,58;2015;http://exoplanet.eu/catalog/k2-8_b/;;
k2_8_c;K2-8;5,06416;;;4870;07.07.2016;K2-8 c;;2,41;2016;;;
k2_80_b;K2-80;19,0918;;;5441;18.07.2016;K2-80 b;;2,01;2016;;;
k2_80_c;K2-80;5,605;;;5441;18.07.2016;K2-80 c;;1,47;2016;;;
k2_81_b;K2-81;6,10224;;;4530;18.07.2016;K2-81 b;;1,82;2016;;;
k2_82_b;K2-82;7,195834;;;3415;18.07.2016;K2-82 b;;2,6;2016;;;
k2_83_b;K2-83;2,74697;;;3910;18.07.2016;K2-83 b;;1,244;2016;;;
k2_83_c;K2-83;9,99767;;;3910;18.07.2016;K2-83 c;;1,483;2016;;;
k2_84_b;K2-84;6,4215;;;5652;18.07.2016;K2-84 b;;2,41;2016;;;
k2_84_c;K2-84;27,86;;;5652;18.07.2016;K2-84 c;;2,03;2016;;;
k2_85_b;K2-85;0,684533;;;4268;18.07.2016;K2-85 b;;1,01;2016;;;
k2_86_b;K2-86;8,77683;;;5482;18.07.2016;K2-86 b;;1,96;2016;;;
k2_87_b;K2-87;9,72739;;;5406;18.07.2016;K2-87 b;;4,6;2016;;;
k2_88_b;K2-88;4,6122;;;3537;18.07.2016;K2-88 b;;1,23;2016;;;
k2_89_b;K2-89;1,096026;;;3691;18.07.2016;K2-89 b;;0,615;2016;;;
k2_9_b;K2-9;18,4498;;110;3390;21.01.2016;K2-9 b;;2,25;2015;http://exoplanet.eu/catalog/k2-9_b/;;
k2_90_b;K2-90;13,7311;;;4136;18.07.2016;K2-90 b;;2,04;2016;;;
k2_90_c;K2-90;2,90032;;;4136;18.07.2016;K2-90 c;;1,02;2016;;;
k2_91_b;K2-91;1,419549;;;3622;18.07.2016;K2-91 b;;1,1;2016;;;
k2_92_b;K2-92;0,701818;;;6098;18.07.2016;K2-92 b;;2,56;2016;;;
k2_95_b;K2-95;10,13389;;172;3471;08.09.2016;K2-95 b;10,99;3,47;2016;http://exoplanet.eu/catalog/k2-95_b/;;
k2_99_b;K2-99;18,249;;606;5990;06.10.2016;K2-99 b;308,2951;14,46;2016;http://exoplanet.eu/catalog/epic_212803289_b/;;
kelt_1_b;KELT-1;1,217514;24,7;262;6518;14.05.2014;KELT-1 b;8654,15;12,442;2012;http://exoplanet.eu/catalog/kelt-1_b/;;
kelt_10_b;KELT-10;4,1662739;0,308;183;5948;28.04.2016;KELT-10 b;215,80657;15,681;2016;http://exoplanet.eu/catalog/kelt-10_b/;;
kelt_14_b;KELT-14;1,7100566;0,322;266;5720;03.06.2016;KELT-14 b;408,09372;19,537;2016;http://exoplanet.eu/catalog/wasp-122_b/;;
