// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
61_vir_c;61 Vir;38,021;;8,52;5577;14.05.2014;61 Vir c;;;2009;http://exoplanet.eu/catalog/61_vir_c/;HD 115617;HIP 64924
61_vir_d;61 Vir;123,01;;8,52;5577;14.05.2014;61 Vir d;;;2009;http://exoplanet.eu/catalog/61_vir_d/;HD 115617;HIP 64924
7_cma_b;7 CMa;796;;19,84;4792;22.10.2015;7 CMa b;;;2011;http://exoplanet.eu/catalog/7_cma_b/;HD 47205;HIP 31592
70_vir_b;70 Vir;116,6926;;18,11;5439;24.04.2015;70 Vir b;;;1996;http://exoplanet.eu/catalog/70_vir_b/;HD 117176;HIP 65721
75_cet_b;75 Cet;691,9;;81,5;4846;03.09.2015;75 Cet b;;;2012;http://exoplanet.eu/catalog/75_cet_b/;HD 15779;HIP 11791
8_umi_b;8 UMi;93,4;;159,1;4847,4;15.10.2015;8 UMi b;;;2015;http://exoplanet.eu/catalog/8_umi_b/;HD 133086;HIP 73136
81_cet_b;81 Cet;952,7;;97,18;4785;14.05.2014;81 Cet b;;;2008;http://exoplanet.eu/catalog/81_cet_b/;HD 16400;HIP 12247
91_aqr_b;91 Aqr;181,4;;45,52;4665;14.05.2014;91 Aqr b;;;2013;http://exoplanet.eu/catalog/91_aqr_b/;HD 219449;HIP 114855
ab_pic_b;AB Pic;;;45,52;;14.05.2014;AB Pic b;4290,5;;2005;http://exoplanet.eu/catalog/ab_pic_b/;HD 44627;HIP 30034
bd_14_4559_b;BD+14 4559;268,94;;50,03;5008;14.05.2014;BD+14 4559 b;;;2009;http://exoplanet.eu/catalog/bd14_4559_b/;;HIP 104780
bd_15_2375_b;BD+15 2375;153,22;;774;4649;04.02.2016;BD+15 2375 b;;;2016;http://exoplanet.eu/catalog/bd%2B15_2375_b/;;
bd_15_2940_b;BD+15 2940;137,48;;175,44;4796;14.05.2014;BD+15 2940 b;;;2013;http://exoplanet.eu/catalog/bd+15_2940_b/;;HIP 78407
bd_20_1790_b;BD+20 1790;7,78287;;25,4;4410;26.03.2015;BD+20 1790 b;;;2010;;;
bd_20_2457_b;BD+20 2457;379,63;;;4137;14.05.2014;BD+20 2457 b;;;2009;http://exoplanet.eu/catalog/bd20_2457_b/;;
bd_20_2457_c;BD+20 2457;621,99;;;4137;14.05.2014;BD+20 2457 c;;;2009;http://exoplanet.eu/catalog/bd20_2457_c/;;
bd_20_274_b;BD+20 274;578,2;;;4296;18.09.2015;BD+20 274 b;;;2012;http://exoplanet.eu/catalog/bd+20_274_c/;;
bd_20_594_b;BD+20 594;41,6855;7,89;152,1;5766;28.07.2016;BD+20 594 b;16,3;2,23;2016;http://exoplanet.eu/catalog/bd%2B20_594_b/;;
